kind,slug,name,location,setCount,needs,imageUrl,website,instagram,youtube,soundcloud,twitter
dj,elfigo,ELFIGO,"Belgium / France (based in Ibiza, Spain)",2,website|instagram|youtube|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/9a5ca90ebf5216924ef32f0771cd0d38/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@djelfigo,https://soundcloud.com/djelfigo,Not found
dj,erick-morillo,Erick Morillo,"New York, US",2,website|instagram,https://cdn-images.dzcdn.net/images/artist/7b194f558cde2a5f55304591b13c8168/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@erickmorillovideo,https://soundcloud.com/erickmorillo,https://x.com/ErickMorillo
dj,estiva,Estiva,"Reeuwijk, Netherlands",2,instagram|youtube|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/aa85407a00140d3c0ff014a1d7566ead/250x250-000000-80-0-0.jpg,https://www.estiva.mg.gov.br/,Not found,Not found,Not found,Not found
dj,faster-horses,Faster Horses,"Liverpool, UK",2,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/d8315de10c16736f16b43549fb360448/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@thefasterhorses,https://soundcloud.com/faster_horses,Not found
dj,green-velvet,Green Velvet,"Chicago, US",2,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/b0a56315df2977ebb0740c414330b831/250x250-000000-80-0-0.jpg,https://linktr.ee/officialgreenvelvet,Not found,https://www.youtube.com/@officialgreenvelvet,https://soundcloud.com/green-velvet-1,Not found
dj,hi-lo,HI-LO,"Rotterdam, Netherlands",2,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/64518b1e37ab7cf8782c0b016c62e199/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@HILOofficial,https://soundcloud.com/hi-lomusic,Not found
dj,justin-jay,Justin Jay,"Los Angeles, US",2,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/f889affa1092a80a906f2ea04edc03e3/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@justinjaymusic,https://soundcloud.com/justin-jay,Not found
dj,malone,MalÃ³ne,"Miami, US",2,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/e7234aeff0081367e7e856b5fd54058e/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/malone-music,Not found
dj,men-machine,Men Machine,Paris / Berlin,2,website,https://cdn-images.dzcdn.net/images/artist/fc7c5fad8b9b132efa7cde2000cc882e/250x250-000000-80-0-0.jpg,Not found,https://www.instagram.com/menmachine/,https://www.youtube.com/@davidguetta,https://soundcloud.com/davidguetta,https://twitter.com/1001TLtv
dj,mythm,MYTHM,"Vancouver, Canada",2,website,https://cdn-images.dzcdn.net/images/artist/6986d0e57d26edcf5b9abc4d2aeb80de/250x250-000000-80-0-0.jpg,Not found,https://instagram.com/mythmofficial,https://www.youtube.com/@mythmofficial,https://soundcloud.com/mythmofficial,https://twitter.com/mythmofficial
dj,nikolina,Nikolina,United Kingdom,2,website|instagram|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/c5a8356037cef83b51980b49416dc044/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@DJNIKOLINA,Not found,Not found
dj,riordan,RIORDAN,UK,2,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/6e6bb7f4379130f3725c7374afe3de9a/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@riordanuk,https://soundcloud.com/riordanuk,Not found
dj,samm,Samm,"Antwerp, Belgium",2,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/55470b88a6fade57d633dc9af520493f/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@sammdu,https://soundcloud.com/sammbe,Not found
dj,sunnery-james,Sunnery James,"Amsterdam, Netherlands",2,website|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/6746413fc12801fcb5d94b6d21092384/250x250-000000-80-0-0.jpg,https://www.sj-rm.com/,https://instagram.com/sunneryjames,Not found,https://soundcloud.com/sunneryjamesryanmarciano,Not found
dj,tini-gessler,TINI GESSLER,"Barcelona, Spain",2,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/eb8aaffdd0c01a75ec21554d65f741ef/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/tini-gessler,Not found
dj,vik-benno,Vik Benno,"Cambridgeshire, UK",2,website|youtube|soundcloud|twitter,https://img.hearthis.at/1/8/0/_/uploads/11029780/image_user/w1000_h1000_q70_ptrue_v2_----cropped_1721465106081.jpg,Not found,https://instagram.com/vikbenno,Not found,Not found,Not found
